GroupNumber,GroupUnit,GroupSkill1,GroupSkill2,GroupSkill3,GroupSkill4,GroupPreference1,GroupPreference2,GroupPreference3,ProjectNumber,ProjectUnit,ProjectSkill1,ProjectSkill2,ProjectSkill3,ProjectSkill4,ProjectPreference1,ProjectPreference2,ProjectPreference3,Allocated
2,9786,126,150,109,105,10,9,3,5,10098,118,148,144,147,37,13,16,0
2,9786,126,150,109,105,10,9,3,6,9786,158,159,154,147,40,23,26,0
2,9786,126,150,109,105,10,9,3,7,9786,133,158,108,111,10,14,24,0
2,9786,126,150,109,105,10,9,3,8,10005,116,141,129,118,37,26,32,0
2,9786,126,150,109,105,10,9,3,9,9786,153,121,110,142,10,31,12,1
3,11522,106,149,148,110,5,7,0,0,10004,120,101,129,113,11,7,36,0
3,11522,106,149,148,110,5,7,0,1,10004,154,126,123,109,40,2,40,0
3,11522,106,149,148,110,5,7,0,2,10098,152,135,127,124,12,15,19,0
3,11522,106,149,148,110,5,7,0,3,9785,125,129,107,137,26,40,18,0
3,11522,106,149,148,110,5,7,0,4,10005,154,130,129,100,34,36,33,0
3,11522,106,149,148,110,5,7,0,5,10098,118,148,144,147,37,13,16,0
3,11522,106,149,148,110,5,7,0,6,9786,158,159,154,147,40,23,26,0
3,11522,106,149,148,110,5,7,0,7,9786,133,158,108,111,10,14,24,1
3,11522,106,149,148,110,5,7,0,8,10005,116,141,129,118,37,26,32,0
3,11522,106,149,148,110,5,7,0,9,9786,153,121,110,142,10,31,12,0
4,9785,137,104,133,138,8,8,9,0,10004,120,101,129,113,11,7,36,0
4,9785,137,104,133,138,8,8,9,1,10004,154,126,123,109,40,2,40,0
4,9785,137,104,133,138,8,8,9,2,10098,152,135,127,124,12,15,19,0
4,9785,137,104,133,138,8,8,9,3,9785,125,129,107,137,26,40,18,1
4,9785,137,104,133,138,8,8,9,4,10005,154,130,129,100,34,36,33,0
4,9785,137,104,133,138,8,8,9,5,10098,118,148,144,147,37,13,16,0
4,9785,137,104,133,138,8,8,9,6,9786,158,159,154,147,40,23,26,0
4,9785,137,104,133,138,8,8,9,7,9786,133,158,108,111,10,14,24,0
4,9785,137,104,133,138,8,8,9,8,10005,116,141,129,118,37,26,32,0
4,9785,137,104,133,138,8,8,9,9,9786,153,121,110,142,10,31,12,0
5,9785,144,140,127,124,9,1,1,0,10004,120,101,129,113,11,7,36,0
5,9785,144,140,127,124,9,1,1,1,10004,154,126,123,109,40,2,40,0
5,9785,144,140,127,124,9,1,1,2,10098,152,135,127,124,12,15,19,0
5,9785,144,140,127,124,9,1,1,3,9785,125,129,107,137,26,40,18,0
5,9785,144,140,127,124,9,1,1,4,10005,154,130,129,100,34,36,33,0
5,9785,144,140,127,124,9,1,1,5,10098,118,148,144,147,37,13,16,0
5,9785,144,140,127,124,9,1,1,6,9786,158,159,154,147,40,23,26,0
5,9785,144,140,127,124,9,1,1,7,9786,133,158,108,111,10,14,24,1
5,9785,144,140,127,124,9,1,1,8,10005,116,141,129,118,37,26,32,0
5,9785,144,140,127,124,9,1,1,9,9786,153,121,110,142,10,31,12,0
6,10005,117,124,142,122,0,10,6,0,10004,120,101,129,113,11,7,36,0
6,10005,117,124,142,122,0,10,6,1,10004,154,126,123,109,40,2,40,0
6,10005,117,124,142,122,0,10,6,2,10098,152,135,127,124,12,15,19,0
6,10005,117,124,142,122,0,10,6,3,9785,125,129,107,137,26,40,18,0
6,10005,117,124,142,122,0,10,6,4,10005,154,130,129,100,34,36,33,1
6,10005,117,124,142,122,0,10,6,5,10098,118,148,144,147,37,13,16,0
6,10005,117,124,142,122,0,10,6,6,9786,158,159,154,147,40,23,26,0
6,10005,117,124,142,122,0,10,6,7,9786,133,158,108,111,10,14,24,0
6,10005,117,124,142,122,0,10,6,8,10005,116,141,129,118,37,26,32,0
6,10005,117,124,142,122,0,10,6,9,9786,153,121,110,142,10,31,12,0
7,10004,158,159,134,145,10,2,8,0,10004,120,101,129,113,11,7,36,1
7,10004,158,159,134,145,10,2,8,1,10004,154,126,123,109,40,2,40,0
7,10004,158,159,134,145,10,2,8,2,10098,152,135,127,124,12,15,19,0
7,10004,158,159,134,145,10,2,8,3,9785,125,129,107,137,26,40,18,0
7,10004,158,159,134,145,10,2,8,4,10005,154,130,129,100,34,36,33,0
7,10004,158,159,134,145,10,2,8,5,10098,118,148,144,147,37,13,16,0
7,10004,158,159,134,145,10,2,8,6,9786,158,159,154,147,40,23,26,0
7,10004,158,159,134,145,10,2,8,7,9786,133,158,108,111,10,14,24,0
7,10004,158,159,134,145,10,2,8,8,10005,116,141,129,118,37,26,32,0
7,10004,158,159,134,145,10,2,8,9,9786,153,121,110,142,10,31,12,0
8,10005,131,139,159,153,6,7,3,0,10004,120,101,129,113,11,7,36,0
8,10005,131,139,159,153,6,7,3,1,10004,154,126,123,109,40,2,40,0
8,10005,131,139,159,153,6,7,3,2,10098,152,135,127,124,12,15,19,0
8,10005,131,139,159,153,6,7,3,3,9785,125,129,107,137,26,40,18,0
8,10005,131,139,159,153,6,7,3,4,10005,154,130,129,100,34,36,33,0
8,10005,131,139,159,153,6,7,3,5,10098,118,148,144,147,37,13,16,0
8,10005,131,139,159,153,6,7,3,6,9786,158,159,154,147,40,23,26,0
8,10005,131,139,159,153,6,7,3,7,9786,133,158,108,111,10,14,24,0
8,10005,131,139,159,153,6,7,3,8,10005,116,141,129,118,37,26,32,1
8,10005,131,139,159,153,6,7,3,9,9786,153,121,110,142,10,31,12,0
9,9786,102,141,137,140,7,0,3,0,10004,120,101,129,113,11,7,36,0
9,9786,102,141,137,140,7,0,3,1,10004,154,126,123,109,40,2,40,0
9,9786,102,141,137,140,7,0,3,2,10098,152,135,127,124,12,15,19,0
9,9786,102,141,137,140,7,0,3,3,9785,125,129,107,137,26,40,18,0
9,9786,102,141,137,140,7,0,3,4,10005,154,130,129,100,34,36,33,0
9,9786,102,141,137,140,7,0,3,5,10098,118,148,144,147,37,13,16,0
9,9786,102,141,137,140,7,0,3,6,9786,158,159,154,147,40,23,26,0
9,9786,102,141,137,140,7,0,3,7,9786,133,158,108,111,10,14,24,1
9,9786,102,141,137,140,7,0,3,8,10005,116,141,129,118,37,26,32,0
9,9786,102,141,137,140,7,0,3,9,9786,153,121,110,142,10,31,12,0
10,11522,111,117,102,155,6,10,2,0,10004,120,101,129,113,11,7,36,0
10,11522,111,117,102,155,6,10,2,1,10004,154,126,123,109,40,2,40,0
10,11522,111,117,102,155,6,10,2,2,10098,152,135,127,124,12,15,19,0
10,11522,111,117,102,155,6,10,2,3,9785,125,129,107,137,26,40,18,0
10,11522,111,117,102,155,6,10,2,4,10005,154,130,129,100,34,36,33,0
10,11522,111,117,102,155,6,10,2,5,10098,118,148,144,147,37,13,16,0
10,11522,111,117,102,155,6,10,2,6,9786,158,159,154,147,40,23,26,0
10,11522,111,117,102,155,6,10,2,7,9786,133,158,108,111,10,14,24,1
10,11522,111,117,102,155,6,10,2,8,10005,116,141,129,118,37,26,32,0
10,11522,111,117,102,155,6,10,2,9,9786,153,121,110,142,10,31,12,0
11,10004,124,138,122,112,3,3,6,0,10004,120,101,129,113,11,7,36,1
11,10004,124,138,122,112,3,3,6,1,10004,154,126,123,109,40,2,40,0
11,10004,124,138,122,112,3,3,6,2,10098,152,135,127,124,12,15,19,0
11,10004,124,138,122,112,3,3,6,3,9785,125,129,107,137,26,40,18,0
11,10004,124,138,122,112,3,3,6,4,10005,154,130,129,100,34,36,33,0
11,10004,124,138,122,112,3,3,6,5,10098,118,148,144,147,37,13,16,0
11,10004,124,138,122,112,3,3,6,6,9786,158,159,154,147,40,23,26,0
11,10004,124,138,122,112,3,3,6,7,9786,133,158,108,111,10,14,24,0
11,10004,124,138,122,112,3,3,6,8,10005,116,141,129,118,37,26,32,0
11,10004,124,138,122,112,3,3,6,9,9786,153,121,110,142,10,31,12,0
12,9786,125,139,144,101,1,6,2,0,10004,120,101,129,113,11,7,36,0
12,9786,125,139,144,101,1,6,2,1,10004,154,126,123,109,40,2,40,0
12,9786,125,139,144,101,1,6,2,2,10098,152,135,127,124,12,15,19,0
12,9786,125,139,144,101,1,6,2,3,9785,125,129,107,137,26,40,18,0
12,9786,125,139,144,101,1,6,2,4,10005,154,130,129,100,34,36,33,0
12,9786,125,139,144,101,1,6,2,5,10098,118,148,144,147,37,13,16,0
12,9786,125,139,144,101,1,6,2,6,9786,158,159,154,147,40,23,26,1
12,9786,125,139,144,101,1,6,2,7,9786,133,158,108,111,10,14,24,0
12,9786,125,139,144,101,1,6,2,8,10005,116,141,129,118,37,26,32,0
12,9786,125,139,144,101,1,6,2,9,9786,153,121,110,142,10,31,12,0
13,9785,118,143,113,130,7,7,8,0,10004,120,101,129,113,11,7,36,0
13,9785,118,143,113,130,7,7,8,1,10004,154,126,123,109,40,2,40,0
13,9785,118,143,113,130,7,7,8,2,10098,152,135,127,124,12,15,19,0
13,9785,118,143,113,130,7,7,8,3,9785,125,129,107,137,26,40,18,1
13,9785,118,143,113,130,7,7,8,4,10005,154,130,129,100,34,36,33,0
13,9785,118,143,113,130,7,7,8,5,10098,118,148,144,147,37,13,16,0
13,9785,118,143,113,130,7,7,8,6,9786,158,159,154,147,40,23,26,0
13,9785,118,143,113,130,7,7,8,7,9786,133,158,108,111,10,14,24,0
13,9785,118,143,113,130,7,7,8,8,10005,116,141,129,118,37,26,32,0
13,9785,118,143,113,130,7,7,8,9,9786,153,121,110,142,10,31,12,0
14,10004,120,155,156,149,7,10,3,0,10004,120,101,129,113,11,7,36,0
14,10004,120,155,156,149,7,10,3,1,10004,154,126,123,109,40,2,40,0
14,10004,120,155,156,149,7,10,3,2,10098,152,135,127,124,12,15,19,0
14,10004,120,155,156,149,7,10,3,3,9785,125,129,107,137,26,40,18,0
14,10004,120,155,156,149,7,10,3,4,10005,154,130,129,100,34,36,33,0
14,10004,120,155,156,149,7,10,3,5,10098,118,148,144,147,37,13,16,0
14,10004,120,155,156,149,7,10,3,6,9786,158,159,154,147,40,23,26,0
14,10004,120,155,156,149,7,10,3,7,9786,133,158,108,111,10,14,24,1
14,10004,120,155,156,149,7,10,3,8,10005,116,141,129,118,37,26,32,0
14,10004,120,155,156,149,7,10,3,9,9786,153,121,110,142,10,31,12,0
15,9786,159,144,149,135,0,3,3,0,10004,120,101,129,113,11,7,36,0
15,9786,159,144,149,135,0,3,3,1,10004,154,126,123,109,40,2,40,0
15,9786,159,144,149,135,0,3,3,2,10098,152,135,127,124,12,15,19,0
15,9786,159,144,149,135,0,3,3,3,9785,125,129,107,137,26,40,18,0
15,9786,159,144,149,135,0,3,3,4,10005,154,130,129,100,34,36,33,0
15,9786,159,144,149,135,0,3,3,5,10098,118,148,144,147,37,13,16,0
15,9786,159,144,149,135,0,3,3,6,9786,158,159,154,147,40,23,26,1
15,9786,159,144,149,135,0,3,3,7,9786,133,158,108,111,10,14,24,0
15,9786,159,144,149,135,0,3,3,8,10005,116,141,129,118,37,26,32,0
15,9786,159,144,149,135,0,3,3,9,9786,153,121,110,142,10,31,12,0
16,11522,148,103,135,148,9,9,7,0,10004,120,101,129,113,11,7,36,0
16,11522,148,103,135,148,9,9,7,1,10004,154,126,123,109,40,2,40,0
16,11522,148,103,135,148,9,9,7,2,10098,152,135,127,124,12,15,19,0
16,11522,148,103,135,148,9,9,7,3,9785,125,129,107,137,26,40,18,0
16,11522,148,103,135,148,9,9,7,4,10005,154,130,129,100,34,36,33,0
16,11522,148,103,135,148,9,9,7,5,10098,118,148,144,147,37,13,16,0
16,11522,148,103,135,148,9,9,7,6,9786,158,159,154,147,40,23,26,0
16,11522,148,103,135,148,9,9,7,7,9786,133,158,108,111,10,14,24,1
16,11522,148,103,135,148,9,9,7,8,10005,116,141,129,118,37,26,32,0
16,11522,148,103,135,148,9,9,7,9,9786,153,121,110,142,10,31,12,0
17,10004,151,158,120,142,5,8,9,0,10004,120,101,129,113,11,7,36,0
17,10004,151,158,120,142,5,8,9,1,10004,154,126,123,109,40,2,40,1
17,10004,151,158,120,142,5,8,9,2,10098,152,135,127,124,12,15,19,0
17,10004,151,158,120,142,5,8,9,3,9785,125,129,107,137,26,40,18,0
17,10004,151,158,120,142,5,8,9,4,10005,154,130,129,100,34,36,33,0
17,10004,151,158,120,142,5,8,9,5,10098,118,148,144,147,37,13,16,0
17,10004,151,158,120,142,5,8,9,6,9786,158,159,154,147,40,23,26,0
17,10004,151,158,120,142,5,8,9,7,9786,133,158,108,111,10,14,24,0
17,10004,151,158,120,142,5,8,9,8,10005,116,141,129,118,37,26,32,0
17,10004,151,158,120,142,5,8,9,9,9786,153,121,110,142,10,31,12,0
18,10004,141,143,135,147,5,6,7,0,10004,120,101,129,113,11,7,36,0
18,10004,141,143,135,147,5,6,7,1,10004,154,126,123,109,40,2,40,0
18,10004,141,143,135,147,5,6,7,2,10098,152,135,127,124,12,15,19,0
18,10004,141,143,135,147,5,6,7,3,9785,125,129,107,137,26,40,18,0
18,10004,141,143,135,147,5,6,7,4,10005,154,130,129,100,34,36,33,0
18,10004,141,143,135,147,5,6,7,5,10098,118,148,144,147,37,13,16,0
18,10004,141,143,135,147,5,6,7,6,9786,158,159,154,147,40,23,26,0
18,10004,141,143,135,147,5,6,7,7,9786,133,158,108,111,10,14,24,1
18,10004,141,143,135,147,5,6,7,8,10005,116,141,129,118,37,26,32,0
18,10004,141,143,135,147,5,6,7,9,9786,153,121,110,142,10,31,12,0
19,10098,109,157,155,149,3,3,2,0,10004,120,101,129,113,11,7,36,0
19,10098,109,157,155,149,3,3,2,1,10004,154,126,123,109,40,2,40,0
19,10098,109,157,155,149,3,3,2,2,10098,152,135,127,124,12,15,19,1
19,10098,109,157,155,149,3,3,2,3,9785,125,129,107,137,26,40,18,0
19,10098,109,157,155,149,3,3,2,4,10005,154,130,129,100,34,36,33,0
19,10098,109,157,155,149,3,3,2,5,10098,118,148,144,147,37,13,16,0
19,10098,109,157,155,149,3,3,2,6,9786,158,159,154,147,40,23,26,0
19,10098,109,157,155,149,3,3,2,7,9786,133,158,108,111,10,14,24,0
19,10098,109,157,155,149,3,3,2,8,10005,116,141,129,118,37,26,32,0
19,10098,109,157,155,149,3,3,2,9,9786,153,121,110,142,10,31,12,0
20,11522,130,113,150,121,9,3,7,0,10004,120,101,129,113,11,7,36,0
20,11522,130,113,150,121,9,3,7,1,10004,154,126,123,109,40,2,40,0
20,11522,130,113,150,121,9,3,7,2,10098,152,135,127,124,12,15,19,0
20,11522,130,113,150,121,9,3,7,3,9785,125,129,107,137,26,40,18,0
20,11522,130,113,150,121,9,3,7,4,10005,154,130,129,100,34,36,33,0
20,11522,130,113,150,121,9,3,7,5,10098,118,148,144,147,37,13,16,0
20,11522,130,113,150,121,9,3,7,6,9786,158,159,154,147,40,23,26,0
20,11522,130,113,150,121,9,3,7,7,9786,133,158,108,111,10,14,24,1
20,11522,130,113,150,121,9,3,7,8,10005,116,141,129,118,37,26,32,0
20,11522,130,113,150,121,9,3,7,9,9786,153,121,110,142,10,31,12,0
21,10004,121,158,144,145,7,4,1,0,10004,120,101,129,113,11,7,36,0
21,10004,121,158,144,145,7,4,1,1,10004,154,126,123,109,40,2,40,0
21,10004,121,158,144,145,7,4,1,2,10098,152,135,127,124,12,15,19,0
21,10004,121,158,144,145,7,4,1,3,9785,125,129,107,137,26,40,18,0
21,10004,121,158,144,145,7,4,1,4,10005,154,130,129,100,34,36,33,0
21,10004,121,158,144,145,7,4,1,5,10098,118,148,144,147,37,13,16,0
21,10004,121,158,144,145,7,4,1,6,9786,158,159,154,147,40,23,26,0
21,10004,121,158,144,145,7,4,1,7,9786,133,158,108,111,10,14,24,1
21,10004,121,158,144,145,7,4,1,8,10005,116,141,129,118,37,26,32,0
21,10004,121,158,144,145,7,4,1,9,9786,153,121,110,142,10,31,12,0
22,10005,125,121,145,159,9,7,8,0,10004,120,101,129,113,11,7,36,0
22,10005,125,121,145,159,9,7,8,1,10004,154,126,123,109,40,2,40,0
22,10005,125,121,145,159,9,7,8,2,10098,152,135,127,124,12,15,19,0
22,10005,125,121,145,159,9,7,8,3,9785,125,129,107,137,26,40,18,0
22,10005,125,121,145,159,9,7,8,4,10005,154,130,129,100,34,36,33,0
22,10005,125,121,145,159,9,7,8,5,10098,118,148,144,147,37,13,16,0
22,10005,125,121,145,159,9,7,8,6,9786,158,159,154,147,40,23,26,0
22,10005,125,121,145,159,9,7,8,7,9786,133,158,108,111,10,14,24,0
22,10005,125,121,145,159,9,7,8,8,10005,116,141,129,118,37,26,32,1
22,10005,125,121,145,159,9,7,8,9,9786,153,121,110,142,10,31,12,0
23,9785,159,103,149,139,2,4,3,0,10004,120,101,129,113,11,7,36,0
23,9785,159,103,149,139,2,4,3,1,10004,154,126,123,109,40,2,40,0
23,9785,159,103,149,139,2,4,3,2,10098,152,135,127,124,12,15,19,0
23,9785,159,103,149,139,2,4,3,3,9785,125,129,107,137,26,40,18,0
23,9785,159,103,149,139,2,4,3,4,10005,154,130,129,100,34,36,33,0
23,9785,159,103,149,139,2,4,3,5,10098,118,148,144,147,37,13,16,0
23,9785,159,103,149,139,2,4,3,6,9786,158,159,154,147,40,23,26,0
23,9785,159,103,149,139,2,4,3,7,9786,133,158,108,111,10,14,24,1
23,9785,159,103,149,139,2,4,3,8,10005,116,141,129,118,37,26,32,0
23,9785,159,103,149,139,2,4,3,9,9786,153,121,110,142,10,31,12,0
24,9786,126,105,142,114,9,9,4,0,10004,120,101,129,113,11,7,36,0
24,9786,126,105,142,114,9,9,4,1,10004,154,126,123,109,40,2,40,0
24,9786,126,105,142,114,9,9,4,2,10098,152,135,127,124,12,15,19,0
24,9786,126,105,142,114,9,9,4,3,9785,125,129,107,137,26,40,18,0
24,9786,126,105,142,114,9,9,4,4,10005,154,130,129,100,34,36,33,0
24,9786,126,105,142,114,9,9,4,5,10098,118,148,144,147,37,13,16,0
24,9786,126,105,142,114,9,9,4,6,9786,158,159,154,147,40,23,26,0
24,9786,126,105,142,114,9,9,4,7,9786,133,158,108,111,10,14,24,0
24,9786,126,105,142,114,9,9,4,8,10005,116,141,129,118,37,26,32,0
24,9786,126,105,142,114,9,9,4,9,9786,153,121,110,142,10,31,12,1
25,10004,159,111,151,117,0,9,3,0,10004,120,101,129,113,11,7,36,0
25,10004,159,111,151,117,0,9,3,1,10004,154,126,123,109,40,2,40,0
25,10004,159,111,151,117,0,9,3,2,10098,152,135,127,124,12,15,19,0
25,10004,159,111,151,117,0,9,3,3,9785,125,129,107,137,26,40,18,0
25,10004,159,111,151,117,0,9,3,4,10005,154,130,129,100,34,36,33,0
25,10004,159,111,151,117,0,9,3,5,10098,118,148,144,147,37,13,16,0
25,10004,159,111,151,117,0,9,3,6,9786,158,159,154,147,40,23,26,0
25,10004,159,111,151,117,0,9,3,7,9786,133,158,108,111,10,14,24,1
25,10004,159,111,151,117,0,9,3,8,10005,116,141,129,118,37,26,32,0
25,10004,159,111,151,117,0,9,3,9,9786,153,121,110,142,10,31,12,0
26,10005,132,141,101,157,9,4,10,0,10004,120,101,129,113,11,7,36,0
26,10005,132,141,101,157,9,4,10,1,10004,154,126,123,109,40,2,40,0
26,10005,132,141,101,157,9,4,10,2,10098,152,135,127,124,12,15,19,0
26,10005,132,141,101,157,9,4,10,3,9785,125,129,107,137,26,40,18,0
26,10005,132,141,101,157,9,4,10,4,10005,154,130,129,100,34,36,33,0
26,10005,132,141,101,157,9,4,10,5,10098,118,148,144,147,37,13,16,0
26,10005,132,141,101,157,9,4,10,6,9786,158,159,154,147,40,23,26,0
26,10005,132,141,101,157,9,4,10,7,9786,133,158,108,111,10,14,24,1
26,10005,132,141,101,157,9,4,10,8,10005,116,141,129,118,37,26,32,0
26,10005,132,141,101,157,9,4,10,9,9786,153,121,110,142,10,31,12,0
27,10004,151,103,129,120,5,9,5,0,10004,120,101,129,113,11,7,36,0
27,10004,151,103,129,120,5,9,5,1,10004,154,126,123,109,40,2,40,0
27,10004,151,103,129,120,5,9,5,2,10098,152,135,127,124,12,15,19,0
27,10004,151,103,129,120,5,9,5,3,9785,125,129,107,137,26,40,18,0
27,10004,151,103,129,120,5,9,5,4,10005,154,130,129,100,34,36,33,0
27,10004,151,103,129,120,5,9,5,5,10098,118,148,144,147,37,13,16,0
27,10004,151,103,129,120,5,9,5,6,9786,158,159,154,147,40,23,26,0
27,10004,151,103,129,120,5,9,5,7,9786,133,158,108,111,10,14,24,1
27,10004,151,103,129,120,5,9,5,8,10005,116,141,129,118,37,26,32,0
27,10004,151,103,129,120,5,9,5,9,9786,153,121,110,142,10,31,12,0
28,11522,152,116,149,103,10,7,9,0,10004,120,101,129,113,11,7,36,0
28,11522,152,116,149,103,10,7,9,1,10004,154,126,123,109,40,2,40,0
28,11522,152,116,149,103,10,7,9,2,10098,152,135,127,124,12,15,19,0
28,11522,152,116,149,103,10,7,9,3,9785,125,129,107,137,26,40,18,0
28,11522,152,116,149,103,10,7,9,4,10005,154,130,129,100,34,36,33,0
28,11522,152,116,149,103,10,7,9,5,10098,118,148,144,147,37,13,16,0
28,11522,152,116,149,103,10,7,9,6,9786,158,159,154,147,40,23,26,0
28,11522,152,116,149,103,10,7,9,7,9786,133,158,108,111,10,14,24,1
28,11522,152,116,149,103,10,7,9,8,10005,116,141,129,118,37,26,32,0
28,11522,152,116,149,103,10,7,9,9,9786,153,121,110,142,10,31,12,0
29,10004,147,130,110,146,0,1,5,0,10004,120,101,129,113,11,7,36,0
29,10004,147,130,110,146,0,1,5,1,10004,154,126,123,109,40,2,40,0
29,10004,147,130,110,146,0,1,5,2,10098,152,135,127,124,12,15,19,0
29,10004,147,130,110,146,0,1,5,3,9785,125,129,107,137,26,40,18,0
29,10004,147,130,110,146,0,1,5,4,10005,154,130,129,100,34,36,33,0
29,10004,147,130,110,146,0,1,5,5,10098,118,148,144,147,37,13,16,0
29,10004,147,130,110,146,0,1,5,6,9786,158,159,154,147,40,23,26,0
29,10004,147,130,110,146,0,1,5,7,9786,133,158,108,111,10,14,24,1
29,10004,147,130,110,146,0,1,5,8,10005,116,141,129,118,37,26,32,0
29,10004,147,130,110,146,0,1,5,9,9786,153,121,110,142,10,31,12,0
30,10004,113,149,112,137,5,4,6,0,10004,120,101,129,113,11,7,36,0
30,10004,113,149,112,137,5,4,6,1,10004,154,126,123,109,40,2,40,0
30,10004,113,149,112,137,5,4,6,2,10098,152,135,127,124,12,15,19,0
30,10004,113,149,112,137,5,4,6,3,9785,125,129,107,137,26,40,18,0
30,10004,113,149,112,137,5,4,6,4,10005,154,130,129,100,34,36,33,0
30,10004,113,149,112,137,5,4,6,5,10098,118,148,144,147,37,13,16,0
30,10004,113,149,112,137,5,4,6,6,9786,158,159,154,147,40,23,26,0
30,10004,113,149,112,137,5,4,6,7,9786,133,158,108,111,10,14,24,1
30,10004,113,149,112,137,5,4,6,8,10005,116,141,129,118,37,26,32,0
30,10004,113,149,112,137,5,4,6,9,9786,153,121,110,142,10,31,12,0
31,10004,149,142,142,115,7,5,2,0,10004,120,101,129,113,11,7,36,0
31,10004,149,142,142,115,7,5,2,1,10004,154,126,123,109,40,2,40,0
31,10004,149,142,142,115,7,5,2,2,10098,152,135,127,124,12,15,19,0
31,10004,149,142,142,115,7,5,2,3,9785,125,129,107,137,26,40,18,0
31,10004,149,142,142,115,7,5,2,4,10005,154,130,129,100,34,36,33,0
31,10004,149,142,142,115,7,5,2,5,10098,118,148,144,147,37,13,16,0
31,10004,149,142,142,115,7,5,2,6,9786,158,159,154,147,40,23,26,0
31,10004,149,142,142,115,7,5,2,7,9786,133,158,108,111,10,14,24,1
31,10004,149,142,142,115,7,5,2,8,10005,116,141,129,118,37,26,32,0
31,10004,149,142,142,115,7,5,2,9,9786,153,121,110,142,10,31,12,0
32,10005,159,108,150,111,4,8,8,0,10004,120,101,129,113,11,7,36,0
32,10005,159,108,150,111,4,8,8,1,10004,154,126,123,109,40,2,40,0
32,10005,159,108,150,111,4,8,8,2,10098,152,135,127,124,12,15,19,0
32,10005,159,108,150,111,4,8,8,3,9785,125,129,107,137,26,40,18,0
32,10005,159,108,150,111,4,8,8,4,10005,154,130,129,100,34,36,33,0
32,10005,159,108,150,111,4,8,8,5,10098,118,148,144,147,37,13,16,0
32,10005,159,108,150,111,4,8,8,6,9786,158,159,154,147,40,23,26,0
32,10005,159,108,150,111,4,8,8,7,9786,133,158,108,111,10,14,24,1
32,10005,159,108,150,111,4,8,8,8,10005,116,141,129,118,37,26,32,0
32,10005,159,108,150,111,4,8,8,9,9786,153,121,110,142,10,31,12,0
33,10005,155,117,133,122,4,6,4,0,10004,120,101,129,113,11,7,36,0
33,10005,155,117,133,122,4,6,4,1,10004,154,126,123,109,40,2,40,0
33,10005,155,117,133,122,4,6,4,2,10098,152,135,127,124,12,15,19,0
33,10005,155,117,133,122,4,6,4,3,9785,125,129,107,137,26,40,18,0
33,10005,155,117,133,122,4,6,4,4,10005,154,130,129,100,34,36,33,0
33,10005,155,117,133,122,4,6,4,5,10098,118,148,144,147,37,13,16,0
33,10005,155,117,133,122,4,6,4,6,9786,158,159,154,147,40,23,26,0
33,10005,155,117,133,122,4,6,4,7,9786,133,158,108,111,10,14,24,1
33,10005,155,117,133,122,4,6,4,8,10005,116,141,129,118,37,26,32,0
33,10005,155,117,133,122,4,6,4,9,9786,153,121,110,142,10,31,12,0
34,11522,127,156,114,102,5,6,2,0,10004,120,101,129,113,11,7,36,0
34,11522,127,156,114,102,5,6,2,1,10004,154,126,123,109,40,2,40,0
